nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1544889852,1544927389.7832682,groupby,G1_1e7_1e2_0_1,10000000,mean v1:v3 by id4,100,3,pandas,0.23.4,,.groupby,2,0.395,0.482,TRUE,300.01;299.98;5065.702,0.001,
mr-0xc11,1544889852,1544927390.913716,groupby,G1_1e7_1e2_0_1,10000000,sum v1:v3 by id6,100000,3,pandas,0.23.4,,.groupby,1,1.12,0.482,TRUE,30001016;29998058;506570021.5,0.001,
mr-0xc11,1544889852,1544927392.043998,groupby,G1_1e7_1e2_0_1,10000000,sum v1:v3 by id6,100000,3,pandas,0.23.4,,.groupby,2,1.12,0.482,TRUE,30001016;29998058;506570021.5,0.001,
mr-0xc11,1544889852,1544927527.1325471,groupby,G1_1e8_1e2_0_0,100000000,sum v1 by id1,100,1,pandas,0.23.4,,.groupby,1,1.408,3.831,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544927528.6665242,groupby,G1_1e8_1e2_0_0,100000000,sum v1 by id1,100,1,pandas,0.23.4,,.groupby,2,1.427,3.831,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544927534.5217116,groupby,G1_1e8_1e2_0_0,100000000,sum v1 by id1:id2,10000,1,pandas,0.23.4,,.groupby,1,5.846,3.831,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544927540.3850985,groupby,G1_1e8_1e2_0_0,100000000,sum v1 by id1:id2,10000,1,pandas,0.23.4,,.groupby,2,5.854,3.831,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544927548.9597652,groupby,G1_1e8_1e2_0_0,100000000,sum v1 mean v3 by id3,1000000,2,pandas,0.23.4,,.groupby,1,8.559,3.869,TRUE,300012972;50426316.721,0.007,
mr-0xc11,1544889852,1544927557.5390537,groupby,G1_1e8_1e2_0_0,100000000,sum v1 mean v3 by id3,1000000,2,pandas,0.23.4,,.groupby,2,8.561,3.869,TRUE,300012972;50426316.721,0.007,
mr-0xc11,1544889852,1544927561.483393,groupby,G1_1e8_1e2_0_0,100000000,mean v1:v3 by id4,100,3,pandas,0.23.4,,.groupby,1,3.933,3.847,TRUE,300.013;300.004;5042.646,0.001,
mr-0xc11,1544889852,1544927565.4524236,groupby,G1_1e8_1e2_0_0,100000000,mean v1:v3 by id4,100,3,pandas,0.23.4,,.groupby,2,3.959,3.847,TRUE,300.013;300.004;5042.646,0.001,
mr-0xc11,1544889852,1544927585.0285344,groupby,G1_1e8_1e2_0_0,100000000,sum v1:v3 by id6,1000000,3,pandas,0.23.4,,.groupby,1,19.557,3.869,TRUE,300012972;300003781;5042645988.022,0.01,
mr-0xc11,1544889852,1544927603.4352548,groupby,G1_1e8_1e2_0_0,100000000,sum v1:v3 by id6,1000000,3,pandas,0.23.4,,.groupby,2,18.385,3.869,TRUE,300012972;300003781;5042645988.022,0.01,
mr-0xc11,1544889852,1544927778.3870513,groupby,G1_1e8_1e1_0_0,100000000,sum v1 by id1,10,1,pandas,0.23.4,,.groupby,1,1.383,8.838,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544927779.990509,groupby,G1_1e8_1e1_0_0,100000000,sum v1 by id1,10,1,pandas,0.23.4,,.groupby,2,1.399,8.838,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544927783.9415772,groupby,G1_1e8_1e1_0_0,100000000,sum v1 by id1:id2,100,1,pandas,0.23.4,,.groupby,1,3.942,8.831,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544927787.8876348,groupby,G1_1e8_1e1_0_0,100000000,sum v1 by id1:id2,100,1,pandas,0.23.4,,.groupby,2,3.937,8.831,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544927811.7530956,groupby,G1_1e8_1e1_0_0,100000000,sum v1 mean v3 by id3,9999518,2,pandas,0.23.4,,.groupby,1,23.739,9.008,TRUE,300012972;504229602.556,0.117,
mr-0xc11,1544889852,1544927834.4732413,groupby,G1_1e8_1e1_0_0,100000000,sum v1 mean v3 by id3,9999518,2,pandas,0.23.4,,.groupby,2,22.596,9.008,TRUE,300012972;504229602.556,0.108,
mr-0xc11,1544889852,1544927838.3398438,groupby,G1_1e8_1e1_0_0,100000000,mean v1:v3 by id4,10,3,pandas,0.23.4,,.groupby,1,3.849,8.859,TRUE,30.001;30.0;504.265,0.001,
mr-0xc11,1544889852,1544927842.2030509,groupby,G1_1e8_1e1_0_0,100000000,mean v1:v3 by id4,10,3,pandas,0.23.4,,.groupby,2,3.854,8.859,TRUE,30.001;30.0;504.265,0.001,
mr-0xc11,1544889852,1544927877.9966185,groupby,G1_1e8_1e1_0_0,100000000,sum v1:v3 by id6,9999512,3,pandas,0.23.4,,.groupby,1,35.615,9.083,TRUE,300012972;300003781;5042645988.022,0.17,
mr-0xc11,1544889852,1544927913.864052,groupby,G1_1e8_1e1_0_0,100000000,sum v1:v3 by id6,9999512,3,pandas,0.23.4,,.groupby,2,35.672,9.083,TRUE,300012972;300003781;5042645988.022,0.175,
mr-0xc11,1544889852,1544928260.392351,groupby,G1_1e8_2e0_0_0,100000000,sum v1 by id1,2,1,pandas,0.23.4,,.groupby,1,1.381,10.657,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544928262.0463262,groupby,G1_1e8_2e0_0_0,100000000,sum v1 by id1,2,1,pandas,0.23.4,,.groupby,2,1.395,10.657,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544928265.9282153,groupby,G1_1e8_2e0_0_0,100000000,sum v1 by id1:id2,4,1,pandas,0.23.4,,.groupby,1,3.873,10.657,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544928269.8149402,groupby,G1_1e8_2e0_0_0,100000000,sum v1 by id1:id2,4,1,pandas,0.23.4,,.groupby,2,3.878,10.657,TRUE,300012972,0.0,
mr-0xc11,1544889852,1544928338.984416,groupby,G1_1e8_2e0_0_0,100000000,sum v1 mean v3 by id3,43231389,2,pandas,0.23.4,,.groupby,1,68.611,11.302,TRUE,300012972;2180068212.716,0.55,
mr-0xc11,1544889852,1544928403.3025265,groupby,G1_1e8_2e0_0_0,100000000,sum v1 mean v3 by id3,43231389,2,pandas,0.23.4,,.groupby,2,63.775,11.302,TRUE,300012972;2180068212.716,0.506,
mr-0xc11,1544889852,1544928407.1708453,groupby,G1_1e8_2e0_0_0,100000000,mean v1:v3 by id4,2,3,pandas,0.23.4,,.groupby,1,3.831,10.673,TRUE,6.0;6.0;100.853,0.001,
mr-0xc11,1544889852,1544928411.0067737,groupby,G1_1e8_2e0_0_0,100000000,mean v1:v3 by id4,2,3,pandas,0.23.4,,.groupby,2,3.827,10.673,TRUE,6.0;6.0;100.853,0.001,
mr-0xc11,1544889852,1544928475.5153239,groupby,G1_1e8_2e0_0_0,100000000,sum v1:v3 by id6,43232226,3,pandas,0.23.4,,.groupby,1,63.787,11.624,TRUE,300012972;300003781;5042645988.022,0.713,
mr-0xc11,1544889852,1544928540.000632,groupby,G1_1e8_2e0_0_0,100000000,sum v1:v3 by id6,43232226,3,pandas,0.23.4,,.groupby,2,63.706,11.624,TRUE,300012972;300003781;5042645988.022,0.724,
